,2_h,3_h,4_h,8_h,12_h
T_not_relevant,205360.0,205354.0,205348.0,205326.0,205304.0
T_ok,213.0,189.0,172.0,116.0,82.0
T_over,14.0,21.0,28.0,30.0,25.0
T_under,40.0,57.0,67.0,121.0,160.0
T_ok_average[%],0.10358561862012285,0.0919166816618925,0.08365148457067821,0.05642215445078383,0.03988889483438812
T_over_relative_average[%],0.006808444416346102,0.010212964629099168,0.013617683534761569,0.01459193649589237,0.012161248425118329
T_under_average[%],0.019452698332417435,0.02772090399326917,0.03258517131532233,0.058854143866765886,0.07783198992075731
anual_events_all,45.498083918532494,45.49941154156656,45.500739242082325,45.505608140315374,45.51047808067247
anual_events_ok,36.29622424961581,32.207448619311165,29.311337639094234,19.7702267575902,13.97700075885821
anual_events_over,2.3856673215709923,3.578605402145685,4.771613104038596,5.1129896786871205,4.2612807191640885
anual_events_under,6.816192347345692,9.713357520109716,11.417788498949498,20.622391704038055,27.27219660265017
summ_error,1249.6000000000001,1897.5,2440.0,4623.1,6140.5
average_error,23.140740740740743,24.326923076923077,25.68421052631579,30.61655629139073,33.19189189189189
max_error,64.4,77.3,79.9,100.10000000000001,102.5
median_error,18.650000000000002,20.4,19.900000000000006,20.699999999999996,25.099999999999994
