,2_h,3_h,4_h,8_h,12_h
T_not_relevant,8740.00,8736.00,8731.00,8714.00,8696.00
T_ok,39893.00,39700.00,39537.00,38999.00,38331.00
T_over,50.00,135.00,192.00,423.00,682.00
T_under,306.00,414.00,520.00,827.00,1236.00
T_ok_average[%],81.43,81.05,80.72,79.65,78.31
T_over_relative_average[%],0.10,0.28,0.39,0.86,1.39
T_under_average[%],0.62,0.85,1.06,1.69,2.53
anual_events_all,28788.02,28790.37,28793.31,28803.30,28813.90
anual_events_ok,28533.39,28397.66,28283.96,27908.77,27440.82
anual_events_over,35.76,96.57,137.35,302.71,488.24
anual_events_under,218.87,296.14,372.00,591.82,884.84
summ_error,6886.00,10293.00,13589.00,26946.00,41732.00
average_error,19.34,18.75,19.09,21.56,21.76
max_error,95.00,96.00,96.00,96.00,98.00
median_error,16.00,15.00,15.00,16.00,16.00
